2025-05-11 09:30:36,893 - __main__ - INFO - Зарегистрированные маршруты:
2025-05-11 09:30:36,895 - __main__ - INFO - /api/production_plan
2025-05-11 09:30:36,895 - __main__ - INFO - /api/writeoffs
2025-05-11 09:30:36,895 - __main__ - INFO - /api/writeoffs
2025-05-11 09:30:36,895 - __main__ - INFO - /api/receipts
2025-05-11 09:30:36,895 - __main__ - INFO - /api/auth
2025-05-11 09:30:36,895 - __main__ - INFO - /api/kkts
2025-05-11 09:30:36,896 - __main__ - INFO - /static/<path:filename>
2025-05-11 09:30:54,654 - __main__ - INFO - Успешная авторизация через /api/auth
2025-05-11 09:30:54,658 - __main__ - INFO - Успешная авторизация через /api/auth
2025-05-11 09:30:54,662 - __main__ - INFO - Успешная авторизация через /api/auth
2025-05-11 12:15:51,758 - __main__ - INFO - Всего обработано чеков: 0, агрегировано точек: 0
2025-05-11 12:15:52,524 - __main__ - INFO - Всего обработано чеков: 0, агрегировано точек: 0
2025-05-11 12:15:53,309 - __main__ - INFO - Всего обработано чеков: 0, агрегировано точек: 0
2025-05-11 12:15:55,773 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:15:59,277 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:16:03,445 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:16:07,096 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:16:10,583 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:16:17,225 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:16:24,225 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:16:28,507 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:16:32,009 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:16:38,652 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:16:44,250 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:16:50,997 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:16:56,958 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:17:03,080 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:17:07,400 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:17:11,167 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:17:16,365 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:17:22,298 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:17:28,893 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:17:35,021 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:17:41,159 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:17:45,170 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
2025-05-11 12:17:48,721 - __main__ - INFO - Всего обработано чеков: 2, агрегировано точек: 2
